country, year, suicide_no, population, suicide/100K pop, suicide_rate_trend
Bulgaria, 1989, 1440.0, 8388500.0, 290.40, Decrease, -18.35
Bulgaria, 1990, 1463.0, 8407200.0, 292.27, Increase, 1.87
Bulgaria, 1991, 1312.0, 8425700.0, 254.47, Decrease, -37.80
Bulgaria, 1992, 1400.0, 8273500.0, 272.49, Increase, 18.02
Bulgaria, 1993, 1526.0, 8016700.0, 311.76, Increase, 39.27
Bulgaria, 1994, 1453.0, 7982500.0, 275.67, Decrease, -36.09
Bulgaria, 1995, 1461.0, 7972500.0, 287.97, Increase, 12.30
Bulgaria, 1996, 1443.0, 7957700.0, 279.59, Decrease, -8.38
Bulgaria, 1997, 1526.0, 7934800.0, 296.42, Increase, 16.83
Bulgaria, 1998, 1470.0, 7901300.0, 277.15, Decrease, -19.27
Bulgaria, 1999, 1468.0, 7854500.0, 299.05, Increase, 21.90
Bulgaria, 2000, 1282.0, 7810980.0, 246.70, Decrease, -52.35
Bulgaria, 2001, 1400.0, 7695060.0, 263.30, Increase, 16.60
Bulgaria, 2002, 1301.0, 7535867.0, 242.63, Decrease, -20.67
Bulgaria, 2003, 1308.0, 7487523.0, 246.14, Increase, 3.51
Bulgaria, 2004, 1078.0, 7441575.0, 205.04, Decrease, -41.10
Bulgaria, 2005, 1018.0, 7401044.0, 185.18, Decrease, -19.86
Bulgaria, 2006, 977.0, 7360160.0, 177.07, Decrease, -8.11
Bulgaria, 2007, 970.0, 7315472.0, 185.62, Increase, 8.55
Bulgaria, 2008, 909.0, 7270754.0, 175.12, Decrease, -10.50
Bulgaria, 2009, 918.0, 7226786.0, 166.32, Decrease, -8.80
Bulgaria, 2010, 873.0, 7180394.0, 155.82, Decrease, -10.50
Bulgaria, 2011, 864.0, 7102194.0, 160.01, Increase, 4.19
Bulgaria, 2012, 774.0, 6999299.0, 136.76, Decrease, -23.25
Bulgaria, 2013, 852.0, 6928394.0, 159.84, Increase, 23.08
Bulgaria, 2014, 721.0, 6891672.0, 134.60, Decrease, -25.24
Cabo Verde, 2011, 693.0, 5718968.0, 144.80, N/A, N/A
Canada, 1985, 696.0, 8188095.0, 148.24, N/A, N/A
Canada, 1986, 3299.0, 2.32967E7, 169.93, Increase, 21.69
Canada, 1987, 3628.0, 2.34399E7, 188.63, Increase, 18.70
Canada, 1988, 3602.0, 2.37262E7, 180.50, Decrease, -8.13
Canada, 1989, 3481.0, 2.40185E7, 174.63, Decrease, -5.87
Canada, 1990, 3455.0, 2.43405E7, 169.59, Decrease, -5.04
Canada, 1991, 3414.0, 2.4782E7, 167.15, Decrease, -2.44
Canada, 1992, 3606.0, 2.56839E7, 166.94, Decrease, -0.21
Canada, 1993, 3677.0, 2.6508E7, 161.89, Decrease, -5.05
Canada, 1994, 3837.0, 2.69637E7, 165.76, Increase, 3.87
Canada, 1995, 3734.0, 2.72892E7, 161.18, Decrease, -4.58
Canada, 1996, 3944.0, 2.76428E7, 162.22, Increase, 1.04
Canada, 1997, 3924.0, 2.77787E7, 161.82, Decrease, -0.40
Canada, 1998, 3684.0, 2.8130182E7, 151.42, Decrease, -10.40
Canada, 1999, 3681.0, 2.8423304E7, 148.92, Decrease, -2.50
Canada, 2000, 4072.0, 2.8723276E7, 158.20, Increase, 9.28
Canada, 2001, 3548.0, 2.907145E7, 135.86, Decrease, -22.34
Canada, 2002, 3691.0, 2.9312068E7, 137.05, Increase, 1.19
Canada, 2003, 3672.0, 2.9659592E7, 138.51, Increase, 1.46
Canada, 2004, 3724.0, 2.9964304E7, 135.21, Decrease, -3.30
Canada, 2005, 3658.0, 3.0273976E7, 133.66, Decrease, -1.55
Canada, 2006, 3638.0, 3.0614412E7, 128.73, Decrease, -4.93
Canada, 2007, 3572.0, 3.0901448E7, 128.87, Increase, 0.14
Canada, 2008, 3591.0, 3.12305E7, 126.33, Decrease, -2.54
Canada, 2009, 3721.0, 3.1568124E7, 128.21, Increase, 1.88
Canada, 2010, 3904.0, 3.1909102E7, 131.28, Increase, 3.07
Canada, 2011, 3963.0, 3.2286618E7, 133.23, Increase, 1.95
Canada, 2012, 3750.0, 3.262692E7, 125.94, Decrease, -7.29
Canada, 2013, 3847.0, 3.2983524E7, 124.52, Decrease, -1.42
Chile, 1985, 3751.0, 2.9840896E7, 126.17, N/A, N/A
Chile, 1986, 669.0, 1.06738E7, 107.62, Decrease, -18.55
Chile, 1987, 659.0, 1.1056E7, 91.00, Decrease, -16.62
Chile, 1988, 693.0, 1.11645E7, 89.76, Decrease, -1.24
Chile, 1989, 715.0, 1.1329E7, 96.33, Increase, 6.57
Chile, 1990, 715.0, 1.1497E7, 99.63, Increase, 3.30
Chile, 1991, 762.0, 1.17088E7, 93.53, Decrease, -6.10
Chile, 1992, 731.0, 1.19252E7, 94.30, Increase, 0.77
Chile, 1993, 682.0, 1.21447E7, 80.84, Decrease, -13.46
Chile, 1994, 743.0, 1.23495E7, 103.46, Increase, 22.62
Chile, 1995, 837.0, 1.2616038E7, 98.03, Decrease, -5.43
Chile, 1996, 944.0, 1.2936561E7, 110.03, Increase, 12.00
Chile, 1997, 912.0, 1.3158402E7, 95.29, Decrease, -14.74
Chile, 1998, 902.0, 1.3367732E7, 99.42, Increase, 4.13
Chile, 1999, 1010.0, 1.356895E7, 108.03, Increase, 8.61
Chile, 2000, 1144.0, 1.3768211E7, 119.69, Increase, 11.66
Chile, 2001, 1530.0, 1.3970327E7, 153.26, Increase, 33.57
Chile, 2002, 1600.0, 1.4164151E7, 145.28, Decrease, -7.98
Chile, 2003, 1604.0, 1.4354021E7, 148.99, Increase, 3.71
Chile, 2004, 1717.0, 1.4539078E7, 157.83, Increase, 8.84
Chile, 2005, 1728.0, 1.4718626E7, 154.89, Decrease, -2.94
Chile, 2006, 1671.0, 1.4900219E7, 146.34, Decrease, -8.55
Chile, 2007, 1859.0, 1.5071441E7, 159.39, Increase, 13.05
Chile, 2008, 1898.0, 1.5237934E7, 154.31, Decrease, -5.08
Chile, 2009, 2076.0, 1.540045E7, 166.87, Increase, 12.56
Chile, 2010, 2123.0, 1.5561121E7, 172.52, Increase, 5.65
Chile, 2011, 1973.0, 1.572612E7, 160.92, Decrease, -11.60
Chile, 2012, 1941.0, 1.5880872E7, 154.87, Decrease, -6.05
Chile, 2013, 1826.0, 1.6042172E7, 147.55, Decrease, -7.32
Chile, 2014, 1751.0, 1.6207131E7, 135.62, Decrease, -11.93
Chile, 2015, 1782.0, 1.6369754E7, 137.12, Increase, 1.50
Colombia, 1985, 1923.0, 2.445128E7, 137.56, N/A, N/A
Colombia, 1986, 1007.0, 2.53322E7, 62.48, Decrease, -75.08
Colombia, 1987, 1001.0, 2.6893192E7, 50.36, Decrease, -12.12
Colombia, 1988, 858.0, 2.817588E7, 42.48, Decrease, -7.88
Colombia, 1989, 855.0, 2.8804084E7, 49.00, Increase, 6.52
Colombia, 1990, 871.0, 2.9433664E7, 42.80, Decrease, -6.20
Colombia, 1991, 944.0, 3.0064698E7, 45.56, Increase, 2.76
Colombia, 1992, 1016.0, 2.9671896E7, 44.42, Decrease, -1.14
Colombia, 1993, 1076.0, 2.97129E7, 49.18, Increase, 4.76
Colombia, 1994, 1146.0, 3.03591E7, 51.00, Increase, 1.82
Colombia, 1995, 1140.0, 3.2012902E7, 53.37, Increase, 2.37
Colombia, 1996, 1186.0, 3.3219376E7, 50.41, Decrease, -2.96
Colombia, 1997, 1229.0, 3.3860972E7, 53.52, Increase, 3.11
Colombia, 1998, 1611.0, 3.4510608E7, 62.05, Increase, 8.53
Colombia, 1999, 2042.0, 3.5147504E7, 81.04, Increase, 18.99
Colombia, 2000, 2301.0, 3.5759344E7, 87.72, Increase, 6.68
Colombia, 2001, 2357.0, 3.6360132E7, 89.48, Increase, 1.76
Colombia, 2002, 2430.0, 3.6951988E7, 88.42, Decrease, -1.06
Colombia, 2003, 2267.0, 3.7511424E7, 78.53, Decrease, -9.89
Colombia, 2004, 2244.0, 3.8056744E7, 79.07, Increase, 0.54
Colombia, 2005, 2201.0, 3.860722E7, 83.08, Increase, 4.01
Colombia, 2006, 2084.0, 3.91499E7, 74.34, Decrease, -8.74
Colombia, 2007, 2151.0, 3.9690456E7, 77.74, Increase, 3.40
Colombia, 2008, 2178.0, 4.0259296E7, 74.15, Decrease, -3.59
Colombia, 2009, 2219.0, 4.0838048E7, 74.16, Increase, 0.01
Colombia, 2010, 2222.0, 4.1401024E7, 73.19, Decrease, -0.97
Colombia, 2011, 2044.0, 4.1945048E7, 65.76, Decrease, -7.43
Colombia, 2012, 2074.0, 4.2476968E7, 63.64, Decrease, -2.12
Colombia, 2013, 2073.0, 4.2977752E7, 65.44, Increase, 1.80
Colombia, 2014, 2076.0, 4.3454552E7, 63.78, Decrease, -1.66
Colombia, 2015, 2182.0, 4.3920768E7, 68.10, Increase, 4.32
Costa Rica, 1985, 1644.0, 2.9397718E7, 68.19, N/A, N/A
Costa Rica, 1986, 113.0, 2265300.0, 63.95, Decrease, -4.24
Costa Rica, 1987, 133.0, 2348200.0, 90.07, Increase, 26.12
Costa Rica, 1988, 118.0, 2434100.0, 84.99, Decrease, -5.08
Costa Rica, 1989, 147.0, 2455200.0, 92.64, Increase, 7.65
Costa Rica, 1990, 173.0, 2576000.0, 86.57, Decrease, -6.07
Costa Rica, 1991, 138.0, 2651800.0, 86.99, Increase, 0.42
Costa Rica, 1992, 134.0, 2726600.0, 64.48, Decrease, -22.51
Costa Rica, 1993, 146.0, 2802600.0, 71.53, Increase, 7.05
Costa Rica, 1994, 175.0, 2879100.0, 102.03, Increase, 30.50
Costa Rica, 1995, 178.0, 3026200.0, 84.32, Decrease, -17.71
Costa Rica, 1996, 211.0, 3083451.0, 80.83, Decrease, -3.49
Costa Rica, 1997, 211.0, 3224787.0, 94.66, Increase, 13.83
Costa Rica, 1998, 178.0, 3310587.0, 77.40, Decrease, -17.26
Costa Rica, 1999, 224.0, 3393530.0, 92.10, Increase, 14.70
Costa Rica, 2000, 240.0, 3473261.0, 86.47, Decrease, -5.63
Costa Rica, 2001, 223.0, 3551923.0, 83.56, Decrease, -2.91
Costa Rica, 2002, 233.0, 3623861.0, 84.96, Increase, 1.40
Costa Rica, 2003, 288.0, 3693767.0, 98.64, Increase, 13.68
Costa Rica, 2004, 306.0, 3761457.0, 113.10, Increase, 14.46
Costa Rica, 2005, 302.0, 3826453.0, 94.79, Decrease, -18.31
Costa Rica, 2006, 302.0, 3891715.0, 85.92, Decrease, -8.87
Costa Rica, 2007, 326.0, 3953168.0, 94.81, Increase, 8.89
Costa Rica, 2008, 266.0, 4010000.0, 74.22, Decrease, -20.59
Costa Rica, 2009, 263.0, 4064426.0, 72.75, Decrease, -1.47
Costa Rica, 2010, 267.0, 4118876.0, 74.70, Increase, 1.95
Costa Rica, 2011, 335.0, 4173784.0, 90.26, Increase, 15.56
Costa Rica, 2012, 313.0, 4225764.0, 89.11, Decrease, -1.15
Costa Rica, 2013, 289.0, 4281312.0, 77.64, Decrease, -11.47
Costa Rica, 2014, 309.0, 4338182.0, 88.90, Increase, 11.26
Croatia, 1995, 304.0, 4159684.0, 85.15, N/A, N/A
Croatia, 1996, 938.0, 4431200.0, 310.52, Increase, 225.37
Croatia, 1997, 988.0, 4242500.0, 330.07, Increase, 19.55
Croatia, 1998, 933.0, 4275400.0, 309.97, Decrease, -20.10
Croatia, 1999, 1041.0, 4244000.0, 347.77, Increase, 37.80
Croatia, 2000, 966.0, 4232700.0, 320.87, Decrease, -26.90
Croatia, 2001, 925.0, 4040049.0, 322.27, Increase, 1.40
Croatia, 2002, 879.0, 4180584.0, 286.72, Decrease, -35.55
Croatia, 2003, 878.0, 4208700.0, 305.78, Increase, 19.06
Croatia, 2004, 844.0, 4212100.0, 275.09, Decrease, -30.69
Croatia, 2005, 872.0, 4216453.0, 302.61, Increase, 27.52
Croatia, 2006, 887.0, 4218738.0, 274.34, Decrease, -28.27
Croatia, 2007, 782.0, 4216749.0, 243.82, Decrease, -30.52
Croatia, 2008, 777.0, 4211859.0, 244.35, Increase, 0.53
Croatia, 2009, 794.0, 4204698.0, 266.32, Increase, 21.97
Croatia, 2010, 792.0, 4197203.0, 255.46, Decrease, -10.86
Croatia, 2011, 756.0, 4187470.0, 234.75, Decrease, -20.71
Croatia, 2012, 712.0, 4142637.0, 225.77, Decrease, -8.98
Croatia, 2013, 780.0, 4043289.0, 240.52, Increase, 14.75
Croatia, 2014, 694.0, 4034486.0, 211.47, Decrease, -29.05
Croatia, 2015, 715.0, 4020319.0, 219.57, Increase, 8.10
Croatia, 2016, 786.0, 4116792.0, 246.68, Increase, 27.11
Cuba, 1992, 1406.0, 8232525.0, 258.83, N/A, N/A
Cuba, 1993, 2250.0, 9943600.0, 364.32, Increase, 105.49
Cuba, 1994, 2317.0, 1.0017E7, 387.15, Increase, 22.83
Cuba, 1995, 2319.0, 1.00778E7, 367.87, Decrease, -19.28
Cuba, 1996, 2094.0, 1.01299E7, 340.74, Decrease, -27.13
Cuba, 1997, 1941.0, 1.0178192E7, 309.37, Decrease, -31.37
Cuba, 1998, 2018.0, 1.0164991E7, 317.99, Increase, 8.62
Cuba, 1999, 2061.0, 1.0203088E7, 328.16, Increase, 10.17
Cuba, 2000, 2023.0, 1.0250534E7, 304.13, Decrease, -24.03
Cuba, 2001, 1749.0, 1.0294763E7, 263.56, Decrease, -40.57
Cuba, 2002, 1608.0, 1.0340248E7, 240.01, Decrease, -23.55
Cuba, 2003, 1546.0, 1.0392508E7, 234.95, Decrease, -5.06
Cuba, 2004, 1469.0, 1.0442624E7, 218.59, Decrease, -16.36
Cuba, 2005, 1503.0, 1.0483621E7, 215.85, Decrease, -2.74
Cuba, 2006, 1362.0, 1.0517352E7, 202.35, Decrease, -13.50
Cuba, 2007, 1332.0, 1.0546536E7, 198.01, Decrease, -4.34
Cuba, 2008, 1299.0, 1.0570192E7, 187.90, Decrease, -10.11
Cuba, 2009, 1415.0, 1.0596707E7, 196.80, Increase, 8.90
Cuba, 2010, 1469.0, 1.0629355E7, 200.61, Increase, 3.81
Cuba, 2011, 1571.0, 1.0674561E7, 204.04, Increase, 3.43
Cuba, 2012, 1529.0, 1.0713501E7, 206.97, Increase, 2.93
Cuba, 2013, 1459.0, 1.0747535E7, 199.17, Decrease, -7.80
Cuba, 2014, 1508.0, 1.077261E7, 191.44, Decrease, -7.73
Cuba, 2015, 1432.0, 1.0790551E7, 181.66, Decrease, -9.78
Cyprus, 1999, 1331.0, 7074908.0, 170.31, N/A, N/A
Cyprus, 2000, 6.0, 864272.0, 8.33, Decrease, -161.98
Cyprus, 2004, 3.0, 750113.0, 3.45, Decrease, -4.88
Cyprus, 2005, 11.0, 694098.0, 16.25, Increase, 12.80
Cyprus, 2006, 18.0, 705396.0, 26.61, Increase, 10.36
Cyprus, 2007, 22.0, 718300.0, 32.12, Increase, 5.51
Cyprus, 2008, 23.0, 735467.0, 42.30, Increase, 10.18
Cyprus, 2009, 41.0, 755302.0, 57.98, Increase, 15.68
Cyprus, 2010, 33.0, 775617.0, 56.57, Decrease, -1.41
Cyprus, 2011, 27.0, 793971.0, 41.98, Decrease, -14.59
Cyprus, 2012, 43.0, 801427.0, 62.49, Increase, 20.51
Cyprus, 2013, 36.0, 805693.0, 43.79, Decrease, -18.70
Cyprus, 2014, 46.0, 807301.0, 66.10, Increase, 22.31
Cyprus, 2015, 42.0, 798257.0, 55.05, Decrease, -11.05
Cyprus, 2016, 51.0, 930086.0, 55.61, Increase, 0.56
Czech Republic, 1990, 1099.0, 7580018.0, 118.64, N/A, N/A
Czech Republic, 1991, 2004.0, 9675300.0, 315.60, Increase, 196.96
Czech Republic, 1992, 1972.0, 9689900.0, 295.40, Decrease, -20.20
Czech Republic, 1993, 1969.0, 9706100.0, 301.08, Increase, 5.68
Czech Republic, 1994, 1884.0, 9723000.0, 295.79, Decrease, -5.29
Czech Republic, 1995, 1837.0, 9735000.0, 289.80, Decrease, -5.99
Czech Republic, 1996, 1627.0, 9746600.0, 253.91, Decrease, -35.89
Czech Republic, 1997, 1644.0, 9763800.0, 248.16, Decrease, -5.75
Czech Republic, 1998, 1650.0, 9774200.0, 233.04, Decrease, -15.12
Czech Republic, 1999, 1577.0, 9775765.0, 224.74, Decrease, -8.30
Czech Republic, 2000, 1660.0, 9777860.0, 240.47, Increase, 15.73
Czech Republic, 2001, 1654.0, 9789620.0, 225.57, Decrease, -14.90
Czech Republic, 2002, 1535.0, 9695769.0, 214.59, Decrease, -10.98
Czech Republic, 2003, 1656.0, 9682280.0, 223.88, Increase, 9.29
Czech Republic, 2004, 1626.0, 9687032.0, 226.64, Increase, 2.76
Czech Republic, 2005, 1568.0, 9700025.0, 201.21, Decrease, -25.43
Czech Republic, 2006, 1437.0, 9717362.0, 181.98, Decrease, -19.23
Czech Republic, 2007, 1382.0, 9755603.0, 177.89, Decrease, -4.09
Czech Republic, 2008, 1382.0, 9831660.0, 170.23, Decrease, -7.66
Czech Republic, 2009, 1421.0, 9880545.0, 177.62, Increase, 7.39
Czech Republic, 2010, 1461.0, 9894418.0, 180.17, Increase, 2.55
Czech Republic, 2011, 1561.0, 9847805.0, 183.90, Increase, 3.73
Czech Republic, 2012, 1593.0, 9876829.0, 183.21, Decrease, -0.69
Czech Republic, 2013, 1648.0, 9900986.0, 199.84, Increase, 16.63
Czech Republic, 2014, 1497.0, 9935275.0, 176.92, Decrease, -22.92
Czech Republic, 2015, 1393.0, 9968397.0, 167.49, Decrease, -9.43
Czech Republic, 2016, 1795.0, 1.1471888E7, 206.49, Increase, 39.00
Denmark, 1994, 1005.0, 5267121.0, 211.64, N/A, N/A
Denmark, 1995, 935.0, 4884700.0, 246.38, Increase, 34.74
Denmark, 1996, 898.0, 4915600.0, 229.39, Decrease, -16.99
Denmark, 1997, 819.0, 4933900.0, 220.44, Decrease, -8.95
Denmark, 1998, 791.0, 4954000.0, 207.40, Decrease, -13.04
Denmark, 1999, 784.0, 4974647.0, 195.74, Decrease, -11.66
Denmark, 2000, 704.0, 4996426.0, 169.04, Decrease, -26.70
Denmark, 2001, 711.0, 5017035.0, 176.97, Increase, 7.93
Denmark, 2002, 699.0, 5041012.0, 182.89, Increase, 5.92
Denmark, 2003, 653.0, 5057436.0, 166.38, Decrease, -16.51
Denmark, 2004, 668.0, 5072272.0, 166.28, Decrease, -0.10
Denmark, 2005, 602.0, 5089356.0, 148.45, Decrease, -17.83
Denmark, 2006, 667.0, 5109121.0, 170.96, Increase, 22.51
Denmark, 2007, 593.0, 5132238.0, 150.72, Decrease, -20.24
Denmark, 2008, 606.0, 5161458.0, 143.96, Decrease, -6.76
Denmark, 2009, 615.0, 5190654.0, 141.89, Decrease, -2.07
Denmark, 2010, 576.0, 5213511.0, 137.12, Decrease, -4.77
Denmark, 2011, 602.0, 5239067.0, 135.60, Decrease, -1.52
Denmark, 2012, 645.0, 5263244.0, 133.62, Decrease, -1.98
Denmark, 2013, 609.0, 5291825.0, 136.39, Increase, 2.77
Denmark, 2014, 619.0, 5328018.0, 135.44, Decrease, -0.95
Denmark, 2015, 572.0, 5372166.0, 126.77, Decrease, -8.67
Dominica, 1985, 89.0, 496433.0, 44.54, N/A, N/A
Ecuador, 1985, 383.0, 7574700.0, 58.44, N/A, N/A
Ecuador, 1986, 377.0, 7878800.0, 78.08, Increase, 19.64
Ecuador, 1987, 393.0, 8329800.0, 72.21, Decrease, -5.87
Ecuador, 1988, 465.0, 8589800.0, 74.16, Increase, 1.95
Ecuador, 1989, 426.0, 8547253.0, 66.26, Decrease, -7.90
Ecuador, 1990, 456.0, 8796101.0, 72.07, Increase, 5.81
Ecuador, 1991, 493.0, 9095298.0, 64.98, Decrease, -7.09
Ecuador, 1992, 496.0, 9234647.0, 65.73, Increase, 0.75
Ecuador, 1993, 584.0, 9481701.0, 83.75, Increase, 18.02
Ecuador, 1994, 506.0, 9718673.0, 60.50, Decrease, -23.25
Ecuador, 1995, 548.0, 9954036.0, 70.96, Increase, 10.46
Ecuador, 1996, 589.0, 1.0185586E7, 72.68, Increase, 1.72
Ecuador, 1997, 582.0, 1.0417788E7, 70.61, Decrease, -2.07
Ecuador, 1998, 545.0, 1.0646576E7, 61.88, Decrease, -8.73
Ecuador, 1999, 613.0, 1.0873319E7, 69.16, Increase, 7.28
Ecuador, 2000, 539.0, 1.1099143E7, 62.28, Decrease, -6.88
Ecuador, 2001, 576.0, 1.1316479E7, 60.81, Decrease, -1.47
Ecuador, 2002, 581.0, 1.1536972E7, 65.24, Increase, 4.43
Ecuador, 2003, 672.0, 1.1759086E7, 69.20, Increase, 3.96
Ecuador, 2004, 785.0, 1.1981956E7, 80.30, Increase, 11.10
Ecuador, 2005, 940.0, 1.2204967E7, 94.77, Increase, 14.47
Ecuador, 2006, 898.0, 1.2438274E7, 92.55, Decrease, -2.22
Ecuador, 2007, 1012.0, 1.2666297E7, 101.12, Increase, 8.57
Ecuador, 2008, 916.0, 1.2891918E7, 87.61, Decrease, -13.51
Ecuador, 2009, 967.0, 1.3118451E7, 97.87, Increase, 10.26
Ecuador, 2010, 921.0, 1.3347901E7, 87.30, Decrease, -10.57
Ecuador, 2011, 916.0, 1.3570384E7, 80.77, Decrease, -6.53
Ecuador, 2012, 975.0, 1.3802506E7, 84.73, Increase, 3.96
Ecuador, 2013, 673.0, 1.4040694E7, 61.53, Decrease, -23.20
Ecuador, 2014, 734.0, 1.4280243E7, 66.29, Increase, 4.76
Ecuador, 2015, 1054.0, 1.4517798E7, 88.39, Increase, 22.10
El Salvador, 1990, 602.0, 4870965.0, 161.68, N/A, N/A
El Salvador, 1991, 469.0, 4573464.0, 157.74, Decrease, -3.94
El Salvador, 1992, 432.0, 4596351.0, 161.21, Increase, 3.47
El Salvador, 1993, 420.0, 4689900.0, 113.68, Decrease, -47.53
El Salvador, 1995, 620.0, 4823872.0, 161.45, Increase, 47.77
El Salvador, 1996, 540.0, 4887730.0, 145.89, Decrease, -15.56
El Salvador, 1997, 581.0, 4944791.0, 152.41, Increase, 6.52
El Salvador, 1998, 513.0, 5002073.0, 124.48, Decrease, -27.93
El Salvador, 1999, 511.0, 5058866.0, 120.01, Decrease, -4.47
El Salvador, 2000, 463.0, 5114669.0, 117.30, Decrease, -2.71
El Salvador, 2001, 510.0, 5169728.0, 121.52, Increase, 4.22
El Salvador, 2002, 436.0, 5225473.0, 112.60, Decrease, -8.92
El Salvador, 2003, 529.0, 5278745.0, 134.07, Increase, 21.47
El Salvador, 2004, 465.0, 5328335.0, 114.03, Decrease, -20.04
El Salvador, 2005, 450.0, 5373899.0, 108.87, Decrease, -5.16
El Salvador, 2006, 414.0, 5421676.0, 104.44, Decrease, -4.43
El Salvador, 2007, 496.0, 5460634.0, 120.55, Increase, 16.11
El Salvador, 2008, 485.0, 5492100.0, 119.14, Decrease, -1.41
El Salvador, 2009, 511.0, 5521674.0, 132.86, Increase, 13.72
El Salvador, 2010, 401.0, 5553134.0, 101.52, Decrease, -31.34
El Salvador, 2011, 480.0, 5577519.0, 110.12, Increase, 8.60
El Salvador, 2012, 512.0, 5610558.0, 123.85, Increase, 13.73
El Salvador, 2013, 484.0, 5649066.0, 116.42, Decrease, -7.43
El Salvador, 2014, 376.0, 5688426.0, 93.65, Decrease, -22.77
Estonia, 1995, 584.0, 1490883.0, 424.24, N/A, N/A
Estonia, 1996, 536.0, 1342309.0, 502.97, Increase, 78.73
Estonia, 1997, 534.0, 1329978.0, 535.03, Increase, 32.06
Estonia, 1998, 487.0, 1320219.0, 481.39, Decrease, -53.64
Estonia, 1999, 448.0, 1311142.0, 408.75, Decrease, -72.64
Estonia, 2000, 393.0, 1330496.0, 413.69, Increase, 4.94
Estonia, 2001, 392.0, 1323000.0, 383.92, Decrease, -29.77
Estonia, 2002, 378.0, 1313695.0, 358.78, Decrease, -25.14
Estonia, 2003, 338.0, 1304015.0, 331.31, Decrease, -27.47
Estonia, 2004, 334.0, 1294465.0, 337.50, Increase, 6.19
Estonia, 2005, 269.0, 1285260.0, 253.75, Decrease, -83.75
Estonia, 2006, 243.0, 1275750.0, 237.39, Decrease, -16.36
Estonia, 2007, 249.0, 1267310.0, 248.74, Increase, 11.35
Estonia, 2008, 246.0, 1261565.0, 259.41, Increase, 10.67
Estonia, 2009, 270.0, 1257385.0, 262.48, Increase, 3.07
Estonia, 2010, 222.0, 1252255.0, 218.32, Decrease, -44.16
Estonia, 2011, 215.0, 1246621.0, 221.49, Increase, 3.17
Estonia, 2012, 232.0, 1247849.0, 240.63, Increase, 19.14
Estonia, 2013, 215.0, 1239389.0, 225.69, Decrease, -14.94
Estonia, 2014, 243.0, 1238422.0, 258.87, Increase, 33.18
Estonia, 2015, 205.0, 1240538.0, 230.10, Decrease, -28.77
Fiji, 2001, 65.0, 832681.0, 123.71, N/A, N/A
Fiji, 2002, 40.0, 722922.0, 60.26, Decrease, -63.45
Fiji, 2003, 12.0, 725362.0, 66.40, Increase, 6.14
Fiji, 2004, 22.0, 728208.0, 37.54, Decrease, -28.86
Fiji, 2005, 23.0, 732439.0, 79.99, Increase, 42.45
Fiji, 2006, 25.0, 737333.0, 56.56, Decrease, -23.43
Fiji, 2007, 13.0, 744634.0, 20.46, Decrease, -36.10
Fiji, 2008, 37.0, 753249.0, 47.48, Increase, 27.02
Fiji, 2009, 25.0, 762025.0, 34.46, Decrease, -13.02
Fiji, 2011, 36.0, 775298.0, 62.99, Increase, 28.53
Fiji, 2012, 32.0, 782267.0, 99.50, Increase, 36.51
Finland, 1987, 1302.0, 4363830.0, 325.71, N/A, N/A
Finland, 1988, 1385.0, 4626100.0, 348.94, Increase, 23.23
Finland, 1989, 1401.0, 4648100.0, 356.72, Increase, 7.78
Finland, 1990, 1508.0, 4670000.0, 392.59, Increase, 35.87
Finland, 1991, 1498.0, 4695000.0, 387.61, Decrease, -4.98
Finland, 1992, 1468.0, 4717500.0, 366.37, Decrease, -21.24
Finland, 1993, 1400.0, 4737900.0, 333.09, Decrease, -33.28
Finland, 1994, 1387.0, 4760500.0, 334.37, Increase, 1.28
Finland, 1995, 1391.0, 4777500.0, 329.89, Decrease, -4.48
Finland, 1996, 1257.0, 4794400.0, 299.24, Decrease, -30.65
Finland, 1997, 1309.0, 4816200.0, 300.33, Increase, 1.09
Finland, 1998, 1217.0, 4836551.0, 292.00, Decrease, -8.33
Finland, 1999, 1227.0, 4855773.0, 301.01, Increase, 9.01
Finland, 2000, 1167.0, 4873324.0, 272.74, Decrease, -28.27
Finland, 2001, 1198.0, 4889838.0, 266.49, Decrease, -6.25
Finland, 2002, 1087.0, 4906865.0, 247.91, Decrease, -18.58
Finland, 2003, 1076.0, 4920594.0, 248.29, Increase, 0.38
Finland, 2004, 1069.0, 4933513.0, 249.34, Increase, 1.05
Finland, 2005, 979.0, 4949398.0, 220.92, Decrease, -28.42
Finland, 2006, 1078.0, 4968102.0, 249.32, Increase, 28.40
Finland, 2007, 988.0, 4989042.0, 217.09, Decrease, -32.23
Finland, 2008, 1049.0, 5012330.0, 231.39, Increase, 14.30
Finland, 2009, 1016.0, 5035074.0, 219.54, Decrease, -11.85
Finland, 2010, 956.0, 5055329.0, 218.61, Decrease, -0.93
Finland, 2011, 914.0, 5077658.0, 202.16, Decrease, -16.45
Finland, 2012, 890.0, 5101791.0, 198.13, Decrease, -4.03
Finland, 2013, 870.0, 5125103.0, 190.31, Decrease, -7.82
Finland, 2014, 790.0, 5148427.0, 177.65, Decrease, -12.66
Finland, 2015, 729.0, 5177215.0, 162.90, Decrease, -14.75
France, 1985, 10383.0, 4.8159532E7, 237.61, N/A, N/A
France, 1986, 12562.0, 5.17718E7, 349.00, Increase, 111.39
France, 1987, 12099.0, 5.16251E7, 339.49, Decrease, -9.51
France, 1988, 11698.0, 5.2069E7, 320.73, Decrease, -18.76
